"";"Município";"dom";"int";"cod_mun"
"1847";"francisco badaró";0;0;"3126505"
"1848";"francisco beltrão";8;0;"4108403"
"1849";"francisco dantas";0;0;"2403905"
"1850";"francisco dumont";0;0;"3126604"
"1851";"francisco macedo";0;0;"2204154"
"1852";"francisco morato";0;0;"3516309"
"1853";"francisco sá";0;0;"3126703"
"1854";"francisco santos";0;0;"2204204"
"1855";"franciscópolis";0;0;"3126752"
"1856";"franco da rocha";0;0;"3516408"
"1857";"frecheirinha";0;0;"2304509"
"1858";"frederico westphalen";0;0;"4308508"
"1859";"frei gaspar";0;0;"3126802"
"1860";"frei inocêncio";0;0;"3126901"
"1861";"frei lagonegro";0;0;"3126950"
"1862";"frei martinho";0;0;"2506202"
"1863";"frei miguelinho";0;0;"2605806"
"1864";"frei paulo";0;0;"2802304"
"1865";"frei rogério";0;0;"4205555"
"1866";"fronteira";0;0;"3127008"
"1867";"fronteira dos vales";0;0;"3127057"
"1868";"fronteiras";0;0;"2204303"
"1869";"fruta de leite";0;0;"3127073"
"1870";"frutal";0;0;"3127107"
"1871";"frutuoso gomes";0;0;"2404002"
"1872";"fundão";0;0;"3202207"
"1873";"funilândia";0;0;"3127206"
"1874";"gabriel monteiro";0;0;"3516507"
"1875";"gado bravo";0;0;"2506251"
"1876";"gália";0;0;"3516606"
"1877";"galiléia";0;0;"3127305"
"1878";"galinhos";0;0;"2404101"
"1879";"galvão";0;0;"4205605"
"1880";"gameleira";0;0;"2605905"
"1881";"gameleira de goiás";0;0;"5208152"
"1882";"gameleiras";0;0;"3127339"
"1883";"gandu";0;0;"2911204"
"1884";"garanhuns";0;0;"2606002"
"1885";"gararu";0;0;"2802403"
"1886";"garça";0;0;"3516705"
"1887";"garibaldi";0;0;"4308607"
"1888";"garopaba";0;0;"4205704"
"1889";"garrafão do norte";0;0;"1503077"
"1890";"garruchos";0;0;"4308656"
"1891";"garuva";0;0;"4205803"
"1892";"gaspar";0;0;"4205902"
"1893";"gastão vidigal";0;0;"3516804"
"1894";"gaúcha do norte";0;0;"5103858"
"1895";"gaurama";0;0;"4308706"
"1896";"gavião";0;0;"2911253"
"1897";"gavião peixoto";0;0;"3516853"
"1898";"geminiano";0;0;"2204352"
"1899";"general câmara";0;0;"4308805"
"1900";"general carneiro";0;0;"4108502"
"1901";"general carneiro";0;0;"5103908"
"1902";"general maynard";0;0;"2802502"
"1903";"general salgado";0;0;"3516903"
"1904";"general sampaio";0;0;"2304608"
"1905";"gentil";0;0;"4308854"
"1906";"gentio do ouro";0;0;"2911303"
"1907";"getulina";0;0;"3517000"
"1908";"getúlio vargas";0;0;"4308904"
"1909";"gilbués";0;0;"2204402"
"1910";"girau do ponciano";0;0;"2702900"
"1911";"giruá";0;0;"4309001"
"1912";"glaucilândia";0;0;"3127354"
"1913";"glicério";0;0;"3517109"
"1914";"glória";0;0;"2911402"
"1915";"glória d'oeste";0;0;"5103957"
"1916";"glória de dourados";0;0;"5004007"
"1917";"glória do goitá";0;0;"2606101"
"1918";"glorinha";0;0;"4309050"
"1919";"godofredo viana";0;0;"2104305"
"1920";"godoy moreira";0;0;"4108551"
"1921";"goiabeira";0;0;"3127370"
"1922";"goiana";0;0;"2606200"
"1923";"goianá";66;0;"3127388"
"1924";"goianápolis";0;0;"5208400"
"1925";"goiandira";0;0;"5208509"
"1926";"goianésia";0;0;"5208608"
"1927";"goianésia do pará";0;0;"1503093"
"1928";"goiânia";1012;0;"5208707"
"1929";"goianinha";0;0;"2404200"
"1930";"goianira";0;0;"5208806"
"1931";"goianorte";0;0;"1708304"
"1932";"goiás";0;0;"5208905"
"1933";"goiatins";0;0;"1709005"
"1934";"goiatuba";0;0;"5209101"
"1935";"goioerê";0;0;"4108601"
"1936";"goioxim";0;0;"4108650"
"1937";"gonçalves";0;0;"3127404"
