Município;pass_int
CURITIBA;3465
CURITIBA;3332
CURITIBA;2959
CURITIBA;2916
CURITIBA;2854
CURITIBA;1706
CURITIBA;250
CURITIBA;83
CURITIBA;45
CURITIBA;48
CURITIBA;45
CURITIBA;282
CURITIBA;0
CURITIBA;133
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;545
CURITIBA;442
CURITIBA;384
CURITIBA;374
CURITIBA;303
CURITIBA;331
CURITIBA;485
CURITIBA;247
CURITIBA;205
CURITIBA;163
CURITIBA;320
CURITIBA;439
CURITIBA;0
CURITIBA;55
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;44
CURITIBA;0
CURITIBA;131
CURITIBA;2
FLORIANÓPOLIS;3502
FLORIANÓPOLIS;3026
FLORIANÓPOLIS;676
FLORIANÓPOLIS;465
FLORIANÓPOLIS;9410
FLORIANÓPOLIS;1942
FLORIANÓPOLIS;450
FLORIANÓPOLIS;8629
FLORIANÓPOLIS;288
FLORIANÓPOLIS;473
FLORIANÓPOLIS;6104
FLORIANÓPOLIS;703
FLORIANÓPOLIS;2913
FLORIANÓPOLIS;131
FLORIANÓPOLIS;223
FLORIANÓPOLIS;3250
FLORIANÓPOLIS;1438
FLORIANÓPOLIS;1175
FLORIANÓPOLIS;699
FLORIANÓPOLIS;158
FLORIANÓPOLIS;1291
FLORIANÓPOLIS;959
FLORIANÓPOLIS;848
FLORIANÓPOLIS;2427
FLORIANÓPOLIS;4115
FLORIANÓPOLIS;255
FLORIANÓPOLIS;65
FLORIANÓPOLIS;440
FLORIANÓPOLIS;4211
FLORIANÓPOLIS;3513
FLORIANÓPOLIS;2826
FLORIANÓPOLIS;2647
FLORIANÓPOLIS;3034
FLORIANÓPOLIS;166
FLORIANÓPOLIS;3544
FLORIANÓPOLIS;3223
FLORIANÓPOLIS;3584
FLORIANÓPOLIS;3511
FLORIANÓPOLIS;3330
FLORIANÓPOLIS;3530
FLORIANÓPOLIS;5205
FLORIANÓPOLIS;2313
FLORIANÓPOLIS;352
FLORIANÓPOLIS;4576
FLORIANÓPOLIS;5339
FLORIANÓPOLIS;1573
FLORIANÓPOLIS;322
FLORIANÓPOLIS;163
FLORIANÓPOLIS;3713
FLORIANÓPOLIS;155
FLORIANÓPOLIS;496
FLORIANÓPOLIS;3068
FLORIANÓPOLIS;2439
FLORIANÓPOLIS;83
FLORIANÓPOLIS;1172
FLORIANÓPOLIS;4629
FLORIANÓPOLIS;0
FLORIANÓPOLIS;260
FLORIANÓPOLIS;24
FLORIANÓPOLIS;106
FLORIANÓPOLIS;291
FLORIANÓPOLIS;359
FLORIANÓPOLIS;762
FLORIANÓPOLIS;285
FLORIANÓPOLIS;1246
FLORIANÓPOLIS;673
FORTALEZA;1137
FORTALEZA;697
FORTALEZA;917
FORTALEZA;689
FORTALEZA;479
FORTALEZA;1027
FORTALEZA;925
FORTALEZA;838
FORTALEZA;1003
FORTALEZA;246
FORTALEZA;549
FORTALEZA;533
FORTALEZA;256
FORTALEZA;613
FORTALEZA;689
FORTALEZA;485
FORTALEZA;496
FORTALEZA;668
FORTALEZA;676
FORTALEZA;777
FORTALEZA;642
FORTALEZA;585
FORTALEZA;620
FORTALEZA;598
FORTALEZA;908
FORTALEZA;565
FORTALEZA;656
FORTALEZA;548
FORTALEZA;516
FORTALEZA;845
FORTALEZA;1973
FORTALEZA;1504
FORTALEZA;1234
FORTALEZA;1724
FORTALEZA;1473
FORTALEZA;1076
FORTALEZA;470
FORTALEZA;472
FORTALEZA;546
FORTALEZA;868
FORTALEZA;4390
FORTALEZA;4235
FORTALEZA;3462
FORTALEZA;3458
FORTALEZA;151
FORTALEZA;1277
FORTALEZA;27
FORTALEZA;1007
FORTALEZA;181
FORTALEZA;48
FORTALEZA;752
FORTALEZA;1004
FORTALEZA;544
FORTALEZA;4048
FORTALEZA;285
FORTALEZA;3582
FORTALEZA;710
FORTALEZA;24
FORTALEZA;3457
FORTALEZA;1747
FORTALEZA;215
FORTALEZA;2659
FORTALEZA;1433
FORTALEZA;2364
FORTALEZA;1693
FORTALEZA;3013
FORTALEZA;3926
FORTALEZA;182
FORTALEZA;4310
